num,lon,lat
1043,-54.125,-18.125
1044,-53.375,-18.125
1045,-53.125,-18.125
1046,-52.625,-18.125
1047,-52.125,-18.125
1048,-51.875,-18.125
1049,-51.625,-18.125
1050,-51.375,-18.125
1051,-51.125,-18.125
1052,-50.875,-18.125
1053,-50.625,-18.125
1054,-50.375,-18.125
1055,-50.125,-18.125
1056,-49.875,-18.125
1057,-49.625,-18.125
1058,-49.375,-18.125
1059,-49.125,-18.125
1060,-48.375,-18.125
1061,-48.125,-18.125
1062,-47.875,-18.125
1063,-47.375,-18.125
1064,-47.125,-18.125
1065,-46.875,-18.125
1066,-46.625,-18.125
1067,-46.375,-18.125
1068,-46.125,-18.125
1069,-45.875,-18.125
1070,-45.625,-18.125
1071,-54.875,-18.375
1072,-54.625,-18.375
1073,-53.375,-18.375
1074,-53.125,-18.375
1075,-52.875,-18.375
1076,-52.625,-18.375
1077,-52.375,-18.375
1078,-52.125,-18.375
1079,-51.875,-18.375
1080,-51.375,-18.375
1081,-51.125,-18.375
1082,-50.875,-18.375
1083,-50.625,-18.375
1084,-49.875,-18.375
1085,-49.375,-18.375
1086,-47.875,-18.375
1087,-47.375,-18.375
1088,-47.125,-18.375
1089,-46.875,-18.375
1090,-46.625,-18.375
1091,-46.375,-18.375
1092,-46.125,-18.375
1093,-45.875,-18.375
1094,-45.375,-18.375
1095,-54.875,-18.625
1096,-53.125,-18.625
1097,-52.875,-18.625
1098,-52.625,-18.625
1099,-52.375,-18.625
1100,-52.125,-18.625
1101,-51.875,-18.625
1102,-50.625,-18.625
1103,-49.625,-18.625
1104,-49.125,-18.625
1105,-48.875,-18.625
1106,-48.625,-18.625
1107,-48.125,-18.625
1108,-47.875,-18.625
1109,-47.625,-18.625
1110,-47.375,-18.625
1111,-47.125,-18.625
1112,-46.875,-18.625
1113,-46.625,-18.625
1114,-46.375,-18.625
1115,-45.875,-18.625
1116,-45.375,-18.625
1117,-45.125,-18.625
1118,-54.875,-18.875
1119,-54.625,-18.875
1120,-53.375,-18.875
1121,-53.125,-18.875
1122,-52.875,-18.875
1123,-52.625,-18.875
1124,-52.375,-18.875
1125,-51.125,-18.875
1126,-50.125,-18.875
1127,-49.125,-18.875
1128,-48.875,-18.875
1129,-48.625,-18.875
1130,-48.375,-18.875
1131,-48.125,-18.875
1132,-47.875,-18.875
1133,-47.625,-18.875
1134,-47.375,-18.875
1135,-47.125,-18.875
1136,-46.875,-18.875
1137,-46.625,-18.875
1138,-46.375,-18.875
1139,-45.875,-18.875
1140,-45.625,-18.875
1141,-45.375,-18.875
1142,-45.125,-18.875
1143,-44.625,-18.875
1144,-44.375,-18.875
1145,-54.875,-19.125
1146,-54.625,-19.125
1147,-54.375,-19.125
1148,-53.875,-19.125
1149,-53.625,-19.125
